JP Title,Eng Title,★,FT Prelude,FT FS,FT CT,FT DLC1,FT DLC2,FT DLC3,FT DX,FT MM,FT MM2,MegaMix,MM Theme,MM DLC1,MM DLC2,MM DLC3,MM DLC4,MM DLC5,MM DLC6,MM Sega,MM DLC7,MM DLC8,MM DLC9,MM DLC10,MM DLC11
カンタレラ,Cantarella,7,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ぎずも,Gizmo,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
キップル・インダストリー,"Kipple Industry, Inc.",8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×
キミに,Kimi Ni,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
君の体温,Kimi no Taion,8.5,×,×,×,×,✓,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
キャットフード,Cat Food,8,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
巨大少女,Gigantic Girl,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×
偶像無線 (Game edit),Idol Radio (Game Edit),7.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
クローバー・クラブ,Clover♣Club,7,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×
Glory 3usi9,Glory 3usi9,7.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
恋色病棟,Love-Colored Ward,9,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×
恋スルVOC@LOID,VOC@LOID in Love,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×
恋ノート////,Love's note,7.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
恋は戦争,Love is War,8,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×
荒野と森と魔法の歌,"A Song of Wastelands, Forests, and Magic",6.5,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
ゴーストルール,Ghost Rule,9,×,×,×,×,×,×,✓,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
金の聖夜霜雪に朽ちて,Requiem for the Phantasma,8.5,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
ココロ,Kokoro,7,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×
Gothic and Loneliness ~I'm the very DIVA~,Gothic and Loneliness ~I'm the very DIVA~,9,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
こちら、幸福安心委員会です。,This is the Happiness and Peace of Mind Committee,9,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
こっち向いて Baby,"Look This Way, Baby",8.5,×,✓,×,×,×,×,×,×,×,✓,✓,×,×,×,×,×,×,×,×,×,×,×,×
孤独の果て,Solitude's End,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
