JP Title,Eng Title,★,FT Prelude,FT FS,FT CT,FT DLC1,FT DLC2,FT DLC3,FT DX,FT MM,FT MM2,MegaMix,MM Theme,MM DLC1,MM DLC2,MM DLC3,MM DLC4,MM DLC5,MM DLC6,MM Sega,MM DLC7,MM DLC8,MM DLC9,MM DLC10,MM DLC11
VOiCE -DIVA MIX-,VOiCE -DIVA MIX-,8,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×
崩壊歌姫 -disruptive diva-,Disruptive Diva,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
忘却心中,Lover's Suicide Oblivion,8,×,✓,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×
Holy Star -2010 DIVA mix-,Holy Star -2010 DIVA mix-,7,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
星屑ユートピア,Stardust Utopia,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×
ほしをつくるひと,The Star Maker,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
ぽっぴっぽー,Po Pi Po,9.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ほんとは分かってる,I Really Do Understand,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
マージナル,Marginal,8,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×
迷子ライフ,maigo life,7,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
magnet,Magnet,8,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
Magical Sound Shower,Magical Sound Shower,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
マスターオブパペッツ,Master of Puppets,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
右肩の蝶,Butterfly on Your Right Shoulder,8,×,✓,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×
右肩の蝶 -39's Giving Day Edition-,Butterfly on Your Right Shoulder -39's Giving Day Edition-,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
みくみく菌にご注意♪,Beware of the Miku Miku Germs♪,8,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
みくみくにしてあげる♪【してやんよ】,I'll Miku-Miku You♪ (For Reals),7,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ミラクルペイント,Miracle Paint,8.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
moon,moon,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
結んで開いて羅刹と骸,"Close and Open, Demons and The Dead",8,×,✓,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×
迷的サイバネティックス,Meiteki Cybernetics,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
MEGANE,Glasses,8,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×
メテオ,Meteor,7.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
メランコリック,Melancholic,8,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
メルト,Melt,7,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
Mellow Yellow,Mellow Yellow,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
melody...,melody...,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
妄想スケッチ,Mousou Sketch,9,×,×,✓,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×
モノクロ∞ブルースカイ,Monochrome∞Blue Sky,7,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
悠久-Song of Eternity-DIVAMIX-,Song of Eternity -DIVAMIX-,6.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
指切り,Pinky Swear,8.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
夢喰い白黒バク,Dream-Eating Monochrome Baku,8,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×
夢の続き,Continuing Dream,6.5,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×
ゆめゆめ,Yumeyume,7,×,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×
LIKE THE WIND,LIKE THE WIND,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×
"Last Night, Good Night","Last Night, Good Night",6.5,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓
ラブリスト更新中？,Updating My Love List?,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
リモコン,Remote Controller,8,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
リンちゃんなう！,Rin-chan Now!,9,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×
リンリンシグナル -Append Mix-,RinRin Signal -Append Mix-,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×
ルカルカ★ナイトフィーバー,Luka Luka ★ Night Fever,8,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ルシッドドリーミング,Lucid Dreaming,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
Leia,Leia,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓
ローリンガール,Rolling Girl,9,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
1/6 -out of the gravity-,1/6 -out of the gravity-,7,✓,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
Rosary Pale,Rosary Pale,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×
炉心融解,Roshin Yukai,8,×,✓,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×
ロミオとシンデレラ,Romeo and Cinderella,9,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
WORLD'S END UMBRELLA,World's End Umbrella,8,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×
ワールズエンド・ダンスホール -Live Dance Edition-,World's End Dance Hall -Live Dance Edition-,10,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ワールドイズマイン,The World is Mine,7.5,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
エイリアンエイリアン,Alien Alien,8.5,×,×,×,×,×,×,×,✓,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
大江戸ジュリアナイト,Ohedo Julia Night,9,×,×,×,×,×,×,×,✓,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
Catch the Wave,Catch the Wave,8,×,×,×,×,×,×,×,✓,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
39みゅーじっく！,39 Music!,8.5,×,×,×,×,×,×,×,✓,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ジグソーパズル,Jigsaw Puzzle,9.5,×,×,×,×,×,×,×,✓,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ジターバグ,Jitterbug,9,×,×,×,×,×,×,×,✓,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
テオ,Teo,9,×,×,×,×,×,×,×,✓,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
どりーみんチュチュ,Dreaming Chu-Chu,8,×,×,×,×,×,×,×,✓,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ヒバナ,Hibana,8.5,×,×,×,×,×,×,×,✓,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ロキ,Roki,9,×,×,×,×,×,×,×,✓,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
Bless your Breath,Bless Your Breath,8,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,✓,×,×,×,×
劣等上等,BRING IT ON,9,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,✓,×,×
ドラマツルギー,Dramaturgy,9.5,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,✓,×
グリーンライツセレナーデ,Greenlights Serenade,8.5,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,✓
